"Date","All"
"Mar-2000","4.2%"
"Feb-2000","4.2%"
"Jan-2000","4.2%"
"Dec-1999","4.2%"
"Nov-1999","4.2%"
"Oct-1999","4.3%"
"Sep-1999","4.3%"
"Aug-1999","4.3%"
"Jul-1999","4.3%"
"Jun-1999","4.4%"
"May-1999","4.4%"
"Apr-1999","4.4%"
"Mar-1999","4.4%"
"Feb-1999","4.5%"
"Jan-1999","4.5%"
"Dec-1998","4.5%"
"Nov-1998","4.5%"
"Oct-1998","4.6%"
"Sep-1998","4.6%"
"Aug-1998","4.6%"
"Jul-1998","4.6%"
"Jun-1998","4.7%"
"May-1998","4.7%"
"Apr-1998","4.8%"
"Mar-1998","4.8%"
"Feb-1998","4.9%"
"Jan-1998","4.9%"
"Dec-1997","5.0%"
"Nov-1997","5.1%"
"Oct-1997","5.1%"
"Sep-1997","5.2%"
"Aug-1997","5.2%"
"Jul-1997","5.2%"
"Jun-1997","5.3%"
"May-1997","5.3%"
"Apr-1997","5.3%"
"Mar-1997","5.4%"
"Feb-1997","5.4%"
"Jan-1997","5.4%"
"Dec-1996","5.5%"
"Nov-1996","5.5%"
"Oct-1996","5.5%"
"Sep-1996","5.5%"
"Aug-1996","5.6%"
"Jul-1996","5.6%"
"Jun-1996","5.6%"
"May-1996","5.6%"
"Apr-1996","5.7%"
"Mar-1996","5.7%"
"Feb-1996","5.7%"
"Jan-1996","5.7%"
"Dec-1995","5.7%"
"Nov-1995","5.6%"
"Oct-1995","5.6%"
"Sep-1995","5.7%"
"Aug-1995","5.7%"
"Jul-1995","5.7%"
"Jun-1995","5.7%"
"May-1995","5.8%"
"Apr-1995","5.8%"
"Mar-1995","5.8%"
"Feb-1995","5.9%"
"Jan-1995","6.0%"
"Dec-1994","6.1%"
"Nov-1994","6.2%"
"Oct-1994","6.3%"
"Sep-1994","6.3%"
"Aug-1994","6.4%"
"Jul-1994","6.5%"
"Jun-1994","6.5%"
"May-1994","6.6%"
"Apr-1994","6.7%"
"Mar-1994","6.7%"
"Feb-1994","6.8%"
"Jan-1994","6.8%"
"Dec-1993","6.9%"
"Nov-1993","7.0%"
"Oct-1993","7.1%"
"Sep-1993","7.1%"
"Aug-1993","7.2%"
"Jul-1993","7.3%"
"Jun-1993","7.3%"
"May-1993","7.4%"
"Apr-1993","7.4%"
"Mar-1993","7.5%"
"Feb-1993","7.5%"
"Jan-1993","7.5%"
"Dec-1992","7.5%"
"Nov-1992","7.5%"
"Oct-1992","7.5%"
"Sep-1992","7.5%"
"Aug-1992","7.4%"
"Jul-1992","7.3%"
"Jun-1992","7.3%"
"May-1992","7.2%"
"Apr-1992","7.1%"
"Mar-1992","7.1%"
"Feb-1992","7.0%"
"Jan-1992","7.0%"
"Dec-1991","6.9%"
"Nov-1991","6.8%"
"Oct-1991","6.7%"
"Sep-1991","6.6%"
"Aug-1991","6.5%"
"Jul-1991","6.4%"
"Jun-1991","6.3%"
"May-1991","6.2%"
"Apr-1991","6.1%"
"Mar-1991","6.0%"
"Feb-1991","5.8%"
"Jan-1991","5.7%"
"Dec-1990","5.6%"
"Nov-1990","5.5%"
"Oct-1990","5.5%"
"Sep-1990","5.4%"
"Aug-1990","5.4%"
"Jul-1990","5.4%"
"Jun-1990","5.3%"
"May-1990","5.3%"
"Apr-1990","5.3%"
"Mar-1990","5.3%"
"Feb-1990","5.3%"
"Jan-1990","5.3%"
"Dec-1989","5.3%"
"Nov-1989","5.3%"
"Oct-1989","5.3%"
"Sep-1989","5.3%"
"Aug-1989","5.3%"
"Jul-1989","5.3%"
"Jun-1989","5.3%"
"May-1989","5.3%"
"Apr-1989","5.4%"
"Mar-1989","5.4%"
"Feb-1989","5.4%"
"Jan-1989","5.5%"
"Dec-1988","5.5%"
"Nov-1988","5.6%"
"Oct-1988","5.6%"
"Sep-1988","5.6%"
"Aug-1988","5.7%"
"Jul-1988","5.7%"
"Jun-1988","5.8%"
"May-1988","5.8%"
"Apr-1988","5.9%"
"Mar-1988","6.0%"
"Feb-1988","6.1%"
"Jan-1988","6.1%"
"Dec-1987","6.2%"
"Nov-1987","6.3%"
"Oct-1987","6.4%"
"Sep-1987","6.4%"
"Aug-1987","6.5%"
"Jul-1987","6.6%"
"Jun-1987","6.7%"
"May-1987","6.8%"
"Apr-1987","6.8%"
"Mar-1987","6.9%"
"Feb-1987","6.9%"
"Jan-1987","7.0%"
"Dec-1986","7.0%"
"Nov-1986","7.0%"
"Oct-1986","7.0%"
"Sep-1986","7.0%"
"Aug-1986","7.0%"
"Jul-1986","7.1%"
"Jun-1986","7.1%"
"May-1986","7.1%"
"Apr-1986","7.1%"
"Mar-1986","7.1%"
"Feb-1986","7.1%"
"Jan-1986","7.1%"
"Dec-1985","7.2%"
"Nov-1985","7.2%"
"Oct-1985","7.2%"
"Sep-1985","7.3%"
"Aug-1985","7.3%"
"Jul-1985","7.3%"
"Jun-1985","7.3%"
"May-1985","7.3%"
"Apr-1985","7.3%"
"Mar-1985","7.4%"
"Feb-1985","7.4%"
"Jan-1985","7.5%"
"Dec-1984","7.6%"
"Nov-1984","7.7%"
"Oct-1984","7.8%"
"Sep-1984","7.9%"
"Aug-1984","8.0%"
"Jul-1984","8.2%"
"Jun-1984","8.3%"
"May-1984","8.5%"
"Apr-1984","8.7%"
"Mar-1984","9.0%"
"Feb-1984","9.2%"
"Jan-1984","9.4%"
"Dec-1983","9.6%"
"Nov-1983","9.9%"
"Oct-1983","10.0%"
"Sep-1983","10.2%"
"Aug-1983","10.3%"
"Jul-1983","10.3%"
"Jun-1983","10.3%"
"May-1983","10.3%"
"Apr-1983","10.2%"
"Mar-1983","10.1%"
"Feb-1983","10.0%"
"Jan-1983","9.9%"
"Dec-1982","9.7%"
"Nov-1982","9.5%"
"Oct-1982","9.3%"
"Sep-1982","9.1%"
"Aug-1982","8.9%"
"Jul-1982","8.8%"
"Jun-1982","8.6%"
"May-1982","8.4%"
"Apr-1982","8.3%"
"Mar-1982","8.1%"
"Feb-1982","7.9%"
"Jan-1982","7.8%"
"Dec-1981","7.7%"
"Nov-1981","7.6%"
"Oct-1981","7.5%"
"Sep-1981","7.5%"
"Aug-1981","7.5%"
"Jul-1981","7.5%"
"Jun-1981","7.6%"
"May-1981","7.6%"
"Apr-1981","7.6%"
"Mar-1981","7.6%"
"Feb-1981","7.5%"
"Jan-1981","7.4%"
"Dec-1980","7.3%"
"Nov-1980","7.2%"
"Oct-1980","7.0%"
"Sep-1980","6.9%"
"Aug-1980","6.7%"
"Jul-1980","6.6%"
"Jun-1980","6.4%"
"May-1980","6.3%"
"Apr-1980","6.1%"
"Mar-1980","6.0%"
"Feb-1980","5.9%"
"Jan-1980","5.9%"
"Dec-1979","5.9%"
"Nov-1979","5.9%"
"Oct-1979","5.9%"
"Sep-1979","5.8%"
"Aug-1979","5.8%"
"Jul-1979","5.8%"
"Jun-1979","5.9%"
"May-1979","5.9%"
"Apr-1979","5.9%"
"Mar-1979","6.0%"
"Feb-1979","6.0%"
"Jan-1979","6.1%"
"Dec-1978","6.1%"
